Гурт/Співак,Назва Альбому
Modest Mouse,The Lonesome Crowded West
Rihanna,Anti
Queen,Jazz
Terry Riley,A Rainbow in Curved Air
The Raincoats,The Raincoats
Bad Brains,Bad Brains
Deulgukhwa,들국화
Ice Cube,AmeriKKKa’s Most Wanted
David Bowie,Scary Monsters (And Super Creeps)
Camarón,La leyenda del tiempo
The Fall,The Wonderful and Frightening World Of…
Britney Spears,…Baby One More Time
The Who,Tommy
Bonnie ‘Prince’ Billy,I See a Darkness
The KLF,Chill Out
Lil’ Kim,Hard Core
Talk Talk,Laughing Stock
Bob Marley and the Wailers,Burnin’
Brian Eno,Another Green World
Shin Joong Hyun & Yup Juns,신중현과 엽전들
Townes Van Zandt,The Late Great Townes Van Zandt
Robyn,Body Talk
Hiroshi Yoshimura,Music For Nine Post Cards
Pulp,Different Class
Vampire Weekend,Modern Vampires of the City
Kraftwerk,The Man-Machine
Songs: Ohia,The Magnolia Electric Co.
Neil Young,After the Gold Rush
Blondie,Parallel Lines
Wire,Chairs Missing
Mississippi John Hurt,Today!
Fiona Apple,"When the Pawn Hits the Conflicts He Thinks Like a King What He Knows Throws the Blows When He Goes to the Fight and He’ll Win the Whole Thing ‘Fore He Enters the Ring There’s No Body to Batter When Your Mind Is Your Might So When You Go Solo, You Hold Your Own Hand and Remember That Depth Is the Greatest of Heights and If You Know Where You Stand, Then You Know Where to Land and If You Fall It Won’t Matter, Cuz You’ll Know That You’re Right"
Tom Petty,Wildflowers
Dolly Parton,Coat of Many Colors
Mahmoud Ahmed,"Éthiopiques, Vol. 7: Ere Mèla Mèla"
Thin Lizzy,Jailbreak
Stars of the Lid,The Tired Sounds of Stars of the Lid
Alvvays,Blue Rev
Silver Jews,American Water
The Meters,Rejuvenation
PJ Harvey,"Stories from the City, Stories from the Sea"
The Byrds,Sweetheart of the Rodeo
Janet Jackson,Control
OutKast,Aquemini
Marty Robbins,Gunfighter Ballads and Trail Songs
Cyndi Lauper,She’s So Unusual
Nico,The Marble Index
George Jones,I Am What I Am
Lorde,Melodrama
Popol Vuh,Hosianna Mantra
Burial,Untrue
Joni Mitchell,Hejira
Steely Dan,Aja
The Shangri-Las,Leader of the Pack
LCD Soundsystem,Sound of Silver
Eric B. & Rakim,Paid in Full
Four Tet,There Is Love in You
Alice Coltrane,Turiya Sings
The Promise Ring,Nothing Feels Good
Sex Pistols,"Never Mind the Bollocks, Here’s the Sex Pistols"
Lady Gaga,The Fame Monster
The Mountain Goats,The Sunset Tree
Elton John,Goodbye Yellow Brick Road
Danny Brown,Atrocity Exhibition
Joy Division,Unknown Pleasures
Aretha Franklin,Amazing Grace
D’Angelo and the Vanguard,Black Messiah
"Crosby, Stills, Nash & Young",Déjà Vu
Portishead,Dummy
Ornette Coleman,The Shape of Jazz to Come
Carly Rae Jepsen,Emotion
Beck,Odelay
The Avalanches,Since I Left You
Germs,(GI)
Solange,A Seat at the Table
Curtis Mayfield,Super Fly
U2,The Joshua Tree
Bruce Springsteen,Nebraska
The Cure,Pornography
The Supremes,Where Did Our Love Go
Bob Dylan,Highway 61 Revisited
Jeff Buckley,Grace
The Band,Music from Big Pink
Liz Phair,Exile in Guyville
The Magnetic Fields,69 Love Songs
Led Zeppelin,IV
Joanna Newsom,Ys
Lil Wayne,Tha Carter III
Grace Jones,Nightclubbing
Fugazi,Repeater
The Blue Nile,Hats
The Stooges,Fun House
Joni Mitchell,Court and Spark
Tom Waits,Rain Dogs
American Football,American Football
Captain Beefheart and His Magic Band,Trout Mask Replica
Janelle Monáe,Dirty Computer
Leonard Cohen,Songs of Leonard Cohen
Built to Spill,Perfect From Now On
Danger Mouse,The Grey Album
Massive Attack,Blue Lines
The War on Drugs,Lost in the Dream
Buena Vista Social Club,Buena Vista Social Club
Slayer,Reign in Blood
Rush,Moving Pictures
Vince Staples,Big Fish Theory
The Velvet Underground,The Velvet Underground
Fiona Apple,Fetch the Bolt Cutters
Dinosaur Jr.,You’re Living All Over Me
TLC,CrazySexyCool
Pavement,Slanted & Enchanted
The Microphones,The Glow Pt. 2
Kate Bush,The Dreaming
Eminem,The Marshall Mathers LP
Sufjan Stevens,Carrie & Lowell
Beyoncé,Beyoncé
The Strokes,Is This It
The Ronettes,Presenting the Fabulous Ronettes Featuring Veronica
The Rolling Stones,Sticky Fingers
John Prine,John Prine
Missy Elliott,Supa Dupa Fly
Angelo Badalamenti,Soundtrack from Twin Peaks
Yo La Tengo,And Then Nothing Turned Itself Inside-Out
Kacey Musgraves,Golden Hour
Nick Drake,Pink Moon
Swans,Soundtracks for the Blind
GZA,Liquid Swords
Public Image Ltd,Second Issue / Metal Box
Neutral Milk Hotel,In the Aeroplane Over the Sea
Taylor Swift,Red
Guns ‘N Roses,Appetite For Destruction
Talking Heads,Fear of Music
Marvin Gaye,I Want You
X-Ray Spex,Germfree Adolescents
Death Cab for Cutie,Transatlanticism
Neil Young & Crazy Horse,Rust Never Sleeps
Aretha Franklin,I Never Loved a Man the Way I Love You
Pixies,Doolittle
Kanye West,My Beautiful Dark Twisted Fantasy
Oasis,Definitely Maybe
Gillian Welch,Time (The Revelator)
Van Halen,Van Halen
Waylon Jennings,Dreaming My Dreams
Sly and the Family Stone,There’s a Riot Goin’ On
Dusty Springfield,Dusty in Memphis
Dismemberment Plan,Emergency & I
Jason Isbell,Southeastern
Fishmans,Kuuchuu Camp
Slowdive,Souvlaki
Lana Del Rey,Norman Fucking Rockwell!
Radiohead,OK Computer
Frank Ocean,channel ORANGE
Boards of Canada,Music Has the Right to Children
Madonna,Erotica
Jay-Z,Reasonable Doubt
Belle & Sebastian,If You’re Feeling Sinister
Paul Simon,Graceland
Björk,Homogenic
Boris,Pink
Eric Dolphy,Out to Lunch!
Spiritualized,Ladies and Gentlemen We Are Floating in Space
Gang of Four,Entertainment!
Sparks,No. 1 in Heaven
James Brown,‘Live’ at the Apollo
Metallica,Master of Puppets
Tatsuro Yamashita,For You
Elliott Smith,Either/Or
Led Zeppelin,Physical Graffiti
PJ Harvey,Rid of Me
George Michael,Faith
Herbie Hancock,Head Hunters
Minutemen,Double Nickels on the Dime
The Beatles,Rubber Soul
David Bowie,Low
Daft Punk,Discovery
Pink Floyd,The Dark Side of the Moon
R.E.M.,Murmur
Ramones,Ramones
The Breeders,Last Splash
Michael Jackson,Thriller
Fugees,The Score
Sonic Youth,Daydream Nation
The Jimi Hendrix Experience,Are You Experienced?
Willie Nelson,Red Headed Stranger
Dr. Dre,The Chronic
Lou Reed,Transformer
System of a Down,Toxicity
Madvillain,Madvillainy
Mariah Carey,Music Box
Godspeed You Black Emperor!,Lift Your Skinny Fists Like Antennas to Heaven
The Smiths,The Queen is Dead
Sleater-Kinney,Dig Me Out
This Heat,Deceit
J Dilla,Donuts
N.W.A.,Straight Outta Compton
Paul & Linda McCartney,Ram
Bruce Springsteen,The River
Sunn O))),Black One
Prince and the Revolution,1999
Simon & Garfunkel,Bridge Over Troubled Water
B.B. King,Live at the Regal
Grateful Dead,American Beauty
